word,classification,confidence,reason
एस_बी_आई,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"बचपन,",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"था,क्यों",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
जी।6,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"देखा,जल,",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
रखूं.,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
.वहाँ,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
है.है,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
",लड़किया",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
सं-संचालन,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
आई_पी,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"खुद,जो",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
-रात,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
फिल्म.,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
हाई-फाइ,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
रिफ्रेश.,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
-पुताई,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"टारगेट,",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
के.वी.एस,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"नेपाल,नेपाल",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"होना,शुद्ध",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"सपने,",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
कि.आपकी,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"डीवीडी,",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"चाहेंगे,जो",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
3तो,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
हम्म.।,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
आन.,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"सीईओ,",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"मतलब,अब",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"खासा,",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
",ऐसा।",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
वनवास.,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"तो,।",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"अंबानी,",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"सर,बिल्कुल",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"धीरेधीरे,",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
आउटडोर-आउटडोर,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
उका-,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
यू-टर्न,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
ए᠎̮न्‍ड्‌,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
क्यों-,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"जाएं,सत्तर",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"महौल,",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
टी_बनी_,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"एटी,",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
बी.,INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"अंगारा,",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"बिल्ली,",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
"राइट,",INCORRECT,LOW,"Not in dictionary, ambiguous structure — needs manual review"
